2Fe-2S	YLL041C; YGR286C; YOR226C; YPL135W; YPR002W; YEL024W
3D-structure	YCL067C; YCL043C; YCL035C; YCL032W; YCL008C; YCR012W; YCR031C; YCR039C; YCR053W; YCR083W; YCR084C; YCR088W; YCR097W; YFL048C; YFL044C; YFL039C; YFL038C; YFL030W; YFL026W; YFL018C; YFL017C; YFL009W; YFL008W; YFL005W; YFL004W; YFR002W; YFR007W; YFR010W; YFR031C-A; YFR033C; YFR034C; YFR047C; YFR050C; YFR053C; YLL039C; YLL036C; YLL018C; YLL009C; YLL003W; YLL002W; YLL050C; YLL041C; YLR008C; YLR011W; YLR014C; YLR016C; YLR021W; YLR026C; YLR027C; YLR029C; YLR043C; YLR044C; YLR045C; YLR075W; YLR080W; YLR093C; YLR115W; YLR119W; YLR120C; YLR127C; YLR128W; YLR163C; YLR167W; YLR178C; YLR181C; YLR182W; YLR185W; YLR186W; YLR191W; YLR195C; YLR208W; YLR245C; YLR249W; YLR256W; YLR284C; YLR286C; YLR300W; YLR335W; YLR343W; YLR344W; YLR347C; YLR351C; YLR362W; YLR417W; YLR421C; YLR438C-A; YLR442C; YLR451W; YAL041W; YAL038W; YAL030W; YAL012W; YAL054C; YAL003W; YAR007C; YAR015W; YDL220C; YDL201W; YDL195W; YDL192W; YDL191W; YDL190C; YDL185W; YDL235C; YDL232W; YDL229W; YDL164C; YDL160C; YDL140C; YDL137W; YDL136W; YDL120W; YDL101C; YDL100C; YDL083C; YDL075W; YDL066W; YDL064W; YDL061C; YDL056W; YDL042C; YDL004W; YDL003W; YDR012W; YDR025W; YDR044W; YDR050C; YDR064W; YDR079C-A; YDR092W; YDR098C; YDR103W; YDR146C; YDR155C; YDR156W; YDR159W; YDR162C; YDR165W; YDR172W; YDR173C; YDR177W; YDR178W; YDR189W; YDR211W; YDR214W; YDR216W; YDR217C; YDR224C; YDR225W; YDR226W; YDR227W; YDR228C; YDR246W; YDR256C; YDR267C; YDR270W; YDR283C; YDR292C; YDR308C; YDR311W; YDR320C; YDR328C; YDR341C; YDR353W; YDR362C; YDR372C; YDR373W; YDR385W; YDR394W; YDR404C; YDR409W; YDR418W; YDR419W; YDR428C; YDR432W; YDR435C; YDR440W; YDR448W; YDR450W; YDR454C; YDR468C; YDR472W; YDR477W; YDR483W; YDR510W; YDR513W; YDR529C; YDR533C; YBL099W; YBL092W; YBL087C; YBL079W; YBL078C; YBL071W-A; YBL051C; YBL050W; YBL047C; YBL045C; YBL041W; YBL036C; YBL035C; YBL027W; YBL016W; YBL007C; YBL002W; YBL001C; YBR009C; YBR010W; YBR011C; YBR019C; YBR020W; YBR031W; YBR034C; YBR035C; YBR037C; YBR039W; YBR048W; YBR080C; YBR082C; YBR084C-A; YBR087W; YBR088C; YBR097W; YBR102C; YBR103W; YBR109C; YBR118W; YBR135W; YBR154C; YBR164C; YBR191W; YBR193C; YBR198C; YBR200W; YBR213W; YBR223C; YBR236C; YBR248C; YBR249C; YBR252W; YBR299W; YGL245W; YGL240W; YGL238W; YGL253W; YGL213C; YGL212W; YGL208W; YGL207W; YGL203C; YGL187C; YGL153W; YGL148W; YGL147C; YGL145W; YGL135W; YGL127C; YGL123W; YGL122C; YGL115W; YGL106W; YGL105W; YGL103W; YGL100W; YGL092W; YGL090W; YGL087C; YGL076C; YGL070C; YGL058W; YGL047W; YGL043W; YGL040C; YGL037C; YGL035C; YGL031C; YGL030W; YGL014W; YGL011C; YGR006W; YGR009C; YGR033C; YGR037C; YGR043C; YGR048W; YGR063C; YGR085C; YGR104C; YGR118W; YGR120C; YGR135W; YGR144W; YGR162W; YGR180C; YGR181W; YGR183C; YGR185C; YGR188C; YGR203W; YGR205W; YGR206W; YGR209C; YGR214W; YGR232W; YGR246C; YGR252W; YGR253C; YGR254W; YGR264C; YJL190C; YJL176C; YJL168C; YJL166W; YJL164C; YJL153C; YJL140W; YJL138C; YJL128C; YJL115W; YJL112W; YJL104W; YJL085W; YJL068C; YJL060W; YJL056C; YJL041W; YJL034W; YJL026W; YJL020C; YJL013C; YJL012C; YJL011C; YJL001W; YJR007W; YJR010W; YJR019C; YJR025C; YJR031C; YJR042W; YJR048W; YJR057W; YJR066W; YJR068W; YJR074W; YJR086W; YJR094W-A; YJR099W; YJR102C; YJR104C; YJR121W; YJR123W; YJR131W; YJR135W-A; YJR139C; YKL196C; YKL195W; YKL186C; YKL182W; YKL210W; YKL180W; YKL154W; YKL152C; YKL148C; YKL144C; YKL141W; YKL130C; YKL129C; YKL117W; YKL091C; YKL090W; YKL089W; YKL085W; YKL080W; YKL069W; YKL067W; YKL058W; YKL057C; YKL049C; YKL042W; YKL035W; YKL024C; YKL015W; YKL012W; YKL002W; YKR002W; YKR008W; YKR018C; YKR020W; YKR036C; YKR043C; YKR048C; YKR049C; YKR059W; YKR066C; YKR068C; YKR080W; YKR094C; YKR101W; YOL135C; YOL127W; YOL123W; YOL149W; YOL143C; YOL142W; YOL141W; YOL139C; YOL120C; YOL097C; YOL094C; YOL086C; YOL082W; YOL064C; YOL057W; YOL051W; YOL049W; YOL040C; YOL038W; YOL021C; YOL012C; YOL006C; YOL005C; YOL001W; YOR001W; YOR005C; YOR026W; YOR063W; YOR064C; YOR065W; YOR070C; YOR089C; YOR095C; YOR098C; YOR106W; YOR122C; YOR133W; YOR136W; YOR143C; YOR151C; YOR157C; YOR176W; YOR181W; YOR194C; YOR209C; YOR210W; YOR212W; YOR217W; YOR224C; YOR244W; YOR250C; YOR257W; YOR265W; YOR270C; YOR274W; YOR285W; YOR288C; YOR323C; YOR326W; YOR340C; YOR346W; YOR357C; YOR359W; YOR362C; Q0105; Q0160; Q0115; YIL160C; YIL153W; YIL148W; YIL147C; YIL133C; YIL115C; YIL113W; YIL109C; YIL106W; YIL104C; YIL068C; YIL065C; YIL053W; YIL022W; YIL021W; YIL020C; YIL018W; YIL010W; YIL008W; YIL004C; YIR029W; YIR034C; YIR037W; YML108W; YML106W; YML097C; YML092C; YML079W; YML077W; YML130C; YML069W; YML065W; YML054C; YML051W; YML026C; YML022W; YML019W; YML010W; YML007W; YML001W; YMR020W; YMR022W; YMR028W; YMR038C; YMR043W; YMR047C; YMR058W; YMR074C; YMR079W; YMR087W; YMR092C; YMR096W; YMR099C; YMR108W; YMR109W; YMR116C; YMR117C; YMR143W; YMR159C; YMR168C; YMR174C; YMR190C; YMR216C; YMR228W; YMR234W; YMR239C; YMR268C; YMR276W; YMR297W; YMR314W; YMR318C; YNL310C; YNL301C; YNL290W; YNL272C; YNL271C; YNL267W; YNL259C; YNL258C; YNL256W; YNL251C; YNL246W; YNL244C; YNL239W; YNL238W; YNL229C; YNL216W; YNL200C; YNL189W; YNL188W; YNL178W; YNL168C; YNL162W; YNL138W; YNL135C; YNL124W; YNL121C; YNL118C; YNL102W; YNL088W; YNL064C; YNL037C; YNL031C; YNL030W; YNL020C; YNL007C; YNL001W; YNR006W; YNR007C; YNR016C; YNR032C-A; YNR034W-A; YNR043W; YNR046W; YNR050C; YNR051C; YNR052C; YNR057C; YNR071C; YPL253C; YPL248C; YPL240C; YPL232W; YPL231W; YPL271W; YPL262W; YPL228W; YPL225W; YPL220W; YPL218W; YPL169C; YPL154C; YPL153C; YPL152W; YPL149W; YPL145C; YPL144W; YPL131W; YPL127C; YPL122C; YPL106C; YPL096W; YPL091W; YPL084W; YPL081W; YPL069C; YPL065W; YPL048W; YPL046C; YPL031C; YPL020C; YPL016W; YPL015C; YPL007C; YPL002C; YPL001W; YPR016C; YPR023C; YPR032W; YPR036W; YPR037C; YPR041W; YPR043W; YPR052C; YPR060C; YPR062W; YPR073C; YPR074C; YPR080W; YPR094W; YPR102C; YPR103W; YPR118W; YPR132W; YPR141C; YPR152C; YPR154W; YPR160W; YPR167C; YPR173C; YPR181C; YPR182W; YPR187W; YPR191W; YPR193C; YHL033C; YHL015W; YHL002W; YHR005C; YHR005C-A; YHR008C; YHR016C; YHR024C; YHR029C; YHR039C-A; YHR041C; YHR042W; YHR049W; YHR053C; YHR055C; YHR072W-A; YHR079C; YHR087W; YHR114W; YHR117W; YHR119W; YHR124W; YHR141C; YHR143W-A; YHR165C; YHR183W; YHR201C; YEL054C; YEL039C; YEL038W; YEL037C; YEL034W; YEL026W; YEL024W; YEL022W; YEL021W; YEL020W-A; YEL009C; YER009W; YER010C; YER012W; YER016W; YER018C; YER030W; YER031C; YER057C; YER063W; YER067W; YER070W; YER094C; YER095W; YER117W; YER118C; YER136W; YER143W; YER148W; YER151C; YER162C; YER164W; YER165W; YER172C; YER175C; 940477; YBR111W-A
3Fe-4S	YLL041C; YDL171C
4Fe-4S	YLL041C; YLR304C; YGL091C; YGL009C; YGR286C; YJL200C; YJR016C; YJR137C; YKL045W; YOL043C; YOR196C; YOR356W; YIL003W; YNL240C; YPL207W
ANK repeat	YCR051W; YLR182W; YAR042W; YDL056W; YDL019C; YDR264C; YGL242C; YGR232W; YGR233C; YKL020C; YOR034C; YIL112W; YIL001W; YIR033W; YMR068W; YPL239W; YPL110C; YER111C
ATP synthesis	YLR295C; YDL004W; YDR298C; YDR322C-A; YDR377W; YBL099W; YBR039W; YJR121W; YKL016C; YOL077W-A; Q0080; Q0085; YML081C-A; YPL271W; YPR020W
ATP-binding	YCL050C; YCL040W; YCL030C; YCL024W; YCL019W; YCL004W; YCR008W; YCR011C; YCR012W; YCR024C; YCR036W; YCR073C; YCR091W; YCR092C; YFL066C; YFL053W; YFL039C; YFL033C; YFL029C; YFL028C; YFL022C; YFL008W; YFL003C; YFL002W-A; YFL002C; YFR009W; YFR014C; YFR019W; YFR031C; YFR038W; YFR053C; YLL034C; YLL026W; YLL024C; YLL019C; YLL018C; YLL015W; YLL008W; YLL067C; YLL066C; YLL048C; YLR032W; YLR036C; YLR060W; YLR086W; YLR096W; YLR106C; YLR113W; YLR133W; YLR153C; YLR157C-B; YLR180W; YLR188W; YLR227W-B; YLR234W; YLR240W; YLR247C; YLR248W; YLR249W; YLR259C; YLR260W; YLR274W; YLR276C; YLR305C; YLR306W; YLR328W; YLR345W; YLR361C; YLR362W; YLR369W; YLR382C; YLR383W; YLR397C; YLR398C; YLR410W; YLR410W-B; YLR419W; YLR430W; YLR446W; YLR466W; YLR467W; YAL038W; YAL029C; YAL026C; YAL019W; YAL017W; YAL054C; YAL005C; YAR009C; YAR015W; YAR018C; YAR019C; YDL214C; YDL185W; YDL229W; YDL166C; YDL164C; YDL160C; YDL159W; YDL154W; YDL143W; YDL141W; YDL126C; YDL108W; YDL101C; YDL100C; YDL084W; YDL079C; YDL064W; YDL045C; YDL033C; YDL031W; YDL029W; YDL028C; YDL025C; YDL017W; YDL007W; YDR004W; YDR009W; YDR011W; YDR017C; YDR020C; YDR021W; YDR023W; YDR034C-D; YDR037W; YDR038C; YDR039C; YDR040C; YDR054C; YDR059C; YDR061W; YDR076W; YDR091C; YDR092W; YDR093W; YDR097C; YDR098C-B; YDR122W; YDR127W; YDR135C; YDR147W; YDR173C; YDR177W; YDR188W; YDR190C; YDR194C; YDR196C; YDR208W; YDR210W-B; YDR210C-D; YDR212W; YDR226W; YDR236C; YDR243C; YDR247W; YDR248C; YDR258C; YDR261W-B; YDR261C-D; YDR268W; YDR270W; YDR283C; YDR291W; YDR300C; YDR315C; YDR316W-B; YDR332W; YDR334W; YDR341C; YDR365W-B; YDR375C; YDR390C; YDR394W; YDR406W; YDR454C; YDR466W; YDR477W; YDR490C; YDR502C; YDR507C; YDR516C; YDR523C; YDR530C; YDR531W; YDR534C; YDR545W; YBL111C; YBL105C; YBL100W-B; YBL099W; YBL088C; YBL080C; YBL076C; YBL075C; YBL068W; YBL063W; YBL039C; YBL023C; YBL022C; YBL016W; YBL009W; YBL005W-B; YBR012W-B; YBR020W; YBR028C; YBR044C; YBR059C; YBR073W; YBR080C; YBR082C; YBR084W; YBR087W; YBR097W; YBR114W; YBR121C; YBR136W; YBR142W; YBR160W; YBR169C; YBR186W; YBR202W; YBR208C; YBR218C; YBR227C; YBR237W; YBR245C; YBR274W; YBR295W; YGL245W; YGL234W; YGL253W; YGL251C; YGL216W; YGL201C; YGL180W; YGL179C; YGL171W; YGL167C; YGL163C; YGL158W; YGL150C; YGL129C; YGL120C; YGL091C; YGL078C; YGL064C; YGL062W; YGL058W; YGL048C; YGL021W; YGL008C; YGL006W; YGR005C; YGR010W; YGR027W-B; YGR028W; YGR038C-B; YGR040W; YGR052W; YGR061C; YGR092W; YGR094W; YGR102C; YGR124W; YGR133W; YGR161W-B; YGR161C-D; YGR171C; YGR185C; YGR188C; YGR194C; YGR204W; YGR205W; YGR240C; YGR244C; YGR262C; YGR264C; YGR270W; YGR271W; YGR281W; YGR296W; YJL225C; YJL194W; YJL187C; YJL165C; YJL164C; YJL155C; YJL141C; YJL138C; YJL130C; YJL128C; YJL111W; YJL106W; YJL101C; YJL100W; YJL095W; YJL092W; YJL087C; YJL074C; YJL057C; YJL055W; YJL050W; YJL046W; YJL034W; YJL033W; YJL019W; YJL014W; YJL008C; YJL005W; YJR010W; YJR029W; YJR035W; YJR045C; YJR049C; YJR057W; YJR059W; YJR064W; YJR065C; YJR066W; YJR068W; YJR103W; YJR105W; YJR109C; YJR121W; YJR124C; YKL204W; YKL203C; YKL198C; YKL197C; YKL194C; YKL188C; YKL181W; YKL210W; YKL209C; YKL171W; YKL168C; YKL166C; YKL161C; YKL145W; YKL139W; YKL132C; YKL129C; YKL126W; YKL116C; YKL110C; YKL101W; YKL086W; YKL080W; YKL079W; YKL078W; YKL073W; YKL067W; YKL048C; YKL025C; YKL024C; YKL017C; YKL001C; YKR002W; YKR024C; YKR054C; YKR059W; YKR086W; YKR096W; YKR097W; YKR103W; YKR104W; YOL136C; YOL128C; YOL113W; YOL103W-B; YOL100W; YOL097C; YOL095C; YOL094C; YOL090W; YOL075C; YOL061W; YOL058W; YOL055C; YOL049W; YOL045W; YOL034W; YOL033W; YOL016C; YOL006C; YOR005C; YOR011W; YOR046C; YOR061W; YOR117W; YOR119C; YOR128C; YOR142W; YOR142W-B; YOR143C; YOR153W; YOR168W; YOR171C; YOR191W; YOR192C-B; YOR204W; YOR217W; YOR231W; YOR233W; YOR241W; YOR250C; YOR259C; YOR267C; YOR274W; YOR290C; YOR291W; YOR303W; YOR304W; YOR317W; YOR326W; YOR328W; YOR335C; YOR339C; YOR347C; YOR351C; YOR396W; YIL177C; YIL151C; YIL147C; YIL145C; YIL143C; YIL142W; YIL126W; YIL107C; YIL095W; YIL078W; YIL066C; YIL048W; YIL042C; YIL035C; YIL022W; YIL013C; YIL009W; YIL003W; YIR002C; YIR008C; YIR016W; YML093W; YML133C; YML070W; YML065W; YML061C; YML045W; YML039W; YMR001C; YMR022W; YMR045C; YMR050C; YMR078C; YMR080C; YMR089C; YMR104C; YMR106C; YMR109W; YMR113W; YMR128W; YMR139W; YMR162C; YMR186W; YMR190C; YMR205C; YMR208W; YMR216C; YMR217W; YMR220W; YMR246W; YMR284W; YMR290C; YMR291W; YMR293C; YMR301C; YNL339C; YNL329C; YNL307C; YNL298W; YNL290W; YNL284C-B; YNL267W; YNL261W; YNL256W; YNL250W; YNL247W; YNL218W; YNL209W; YNL207W; YNL183C; YNL161W; YNL154C; YNL132W; YNL129W; YNL112W; YNL088W; YNL073W; YNL020C; YNL014W; YNR011C; YNR012W; YNR016C; YNR027W; YNR029C; YNR031C; YNR038W; YNR043W; YNR047W; YNR057C; YNR070W; YPL257W-B; YPL240C; YPL236C; YPL235W; YPL283C; YPL270W; YPL258C; YPL226W; YPL217C; YPL214C; YPL209C; YPL204W; YPL203W; YPL188W; YPL160W; YPL155C; YPL153C; YPL150W; YPL147W; YPL141C; YPL140C; YPL119C; YPL106C; YPL104W; YPL097W; YPL082C; YPL074W; YPL058C; YPL042C; YPL040C; YPL036W; YPL031C; YPL029W; YPL026C; YPL008W; YPL003W; YPR019W; YPR024W; YPR033C; YPR035W; YPR047W; YPR054W; YPR066W; YPR081C; YPR106W; YPR111W; YPR137C-B; YPR141C; YPR145W; YPR158W-B; YPR158C-D; YPR161C; YPR173C; YPR204W; YHL035C; YHL032C; YHL011C; YHL009W-B; YHL007C; YHR011W; YHR019C; YHR020W; YHR022C; YHR023W; YHR025W; YHR030C; YHR031C; YHR064C; YHR065C; YHR074W; YHR079C; YHR082C; YHR091C; YHR102W; YHR111W; YHR120W; YHR135C; YHR164C; YHR169W; YHR205W; YHR214C-B; YEL077C; YEL061C; YEL052W; YEL032W; YEL031W; YEL030W; YEL029C; YEL012W; YER005W; YER013W; YER015W; YER017C; YER036C; YER047C; YER052C; YER055C; YER069W; YER070W; YER087W; YER095W; YER099C; YER100W; YER103W; YER123W; YER129W; YER138C; YER160C; YER164W; YER166W; YER168C; YER170W; YER171W; YER172C; YER173W; YER176W; YER179W; YER183C; YER190W
Acetylation	YCL050C; YCR012W; YCR031C; YCR088W; YFL039C; YFL038C; YFL022C; YFR004W; YFR027W; YLL024C; YLL018C; YLR027C; YLR044C; YLR048W; YLR109W; YLR134W; YLR150W; YLR178C; YLR249W; YLR264W; YLR354C; YLR441C; YLR442C; YLR447C; YAL005C; YAL003W; YAR015W; YDL185W; YDL229W; YDL147W; YDL130W; YDL128W; YDL097C; YDL083C; YDL081C; YDL040C; YDL022W; YDL003W; YDR012W; YDR025W; YDR034C-D; YDR034C-C; YDR037W; YDR098C-B; YDR098C-A; YDR099W; YDR155C; YDR159W; YDR210C-D; YDR210C-C; YDR224C; YDR225W; YDR226W; YDR316W-A; YDR316W-B; YDR322C-A; YDR394W; YDR450W; YDR454C; YDR502C; YBL087C; YBL050W; YBL003C; YBL002W; YBR009C; YBR010W; YBR012W-A; YBR012W-B; YBR031W; YBR048W; YBR069C; YBR169C; YBR196C; YGL210W; YGL135W; YGL123W; YGL048C; YGR085C; YGR087C; YGR161C-D; YGR161C-C; YGR180C; YGR185C; YGR214W; YGR264C; YJL138C; YJL136C; YJR047C; YJR070C; YJR123W; YKL122C; YKL117W; YKL080W; YKL016C; YKL006W; YKR046C; YKR057W; YKR059W; YOL129W; YOL109W; YOL086C; YOL040C; YOL012C; YOR096W; YOR117W; YOR142W-A; YOR142W-B; YOR167C; YOR234C; YOR259C; YOR261C; YOR270C; YOR332W; YIL133C; YIL075C; YIL069C; YIL026C; YIR034C; YML073C; YML063W; YML051W; YML026C; YML008C; YMR050C; YMR051C; YMR076C; YMR116C; YMR143W; YMR174C; YMR194W; YMR197C; YMR303C; YNL241C; YNL209W; YNL149C; YNL096C; YNL069C; YNL031C; YNL030W; YNL016W; YNL014W; YNR021W; YPL220W; YPL143W; YPL106C; YPL051W; YPL028W; YPR028W; YPR035W; YPR102C; YPR158W-A; YPR158W-B; YPR165W; YPR183W; YPR193C; YHL015W; YHL001W; YHR072W; YHR132W-A; YHR193C; YHR214C-B; YHR214C-C; YEL066W; YEL034W; YER003C; YER021W; YER031C; YER072W; YER074W; YER103W; YER117W; YER120W; YER160C; YER159C-A; YER165W; YER177W; 940477
Actin capping	YKL007W; YIL034C
Actin-binding	YCR059C; YCR088W; YLL050C; YLR313C; YLR370C; YLR429W; YAL029C; YDL029W; YDR129C; YDR388W; YBL007C; YBR118W; YBR234C; YGR080W; YJR065C; YKL129C; YKL013C; YKL007W; YOR122C; YOR239W; YOR326W; YIL034C; YIR006C; YMR092C; YMR109W; YNL271C; YNL243W; YNL138W; YNL084C; YNR035C; YPL242C; YPR080W; YHR023W
