LocusTag	GeneID	Symbol	Description
YCL075W	850287	YCL075W	pseudo
YCL074W	850288	YCL074W	pseudo
YCL073C	850289	YCL073C	Protein of unconfirmed function; displays a topology characteristic of the Major Facilitators Superfamily of membrane proteins; coding sequence 98% identical to that of YKR106W
YCL069W	850290	VBA3	Permease of basic amino acids in the vacuolar membrane
YCL068C	850291	YCL068C	Putative protein of unknown function
YCL067C	850292	HMLALPHA2	Hmlalpha2p
YCL066W	850293	HMLALPHA1	Hmlalpha1p
YCL064C	850295	CHA1	Catabolic L-serine (L-threonine) deaminase, catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine
YCL063W	850296	VAC17	Protein involved in vacuole inheritance; acts as a vacuole-specific receptor for myosin Myo2p
YCL061C	850297	MRC1	Mrc1p
YCL059C	850298	KRR1	Essential nucleolar protein required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit
YCL057C-A	850300	YCL057C-A	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YCL057W	850301	PRD1	Prd1p
YCL056C	850302	YCL056C	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
YCL055W	850303	KAR4	Kar4p
YCL054W	850304	SPB1	AdoMet-dependent methyltransferase involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants
YCL052C	850305	PBN1	Essential component of glycosylphosphatidylinositol-mannosyltransferase I, required for the autocatalytic post-translational processing of the protease B precursor Prb1p, localizes to ER in lumenal orientation; homolog of mammalian PIG-X
YCL051W	850306	LRE1	Lre1p
YCL050C	850307	APA1	Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa2p
YCL049C	850308	YCL049C	Protein of unknown function; localizes to membrane fraction; YCL049C is not an essential gene
YCL048W	850309	SPS22	Protein of unknown function, redundant with Sps2p for the organization of the beta-glucan layer of the spore wall
YCL047C	850310	YCL047C	Putative protein of unknown function
YCL045C	850312	YCL045C	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER; interacts with Gal80p; YCL045C is not an essential gene
YCL044C	850313	MGR1	Mgr1p
YCL043C	850314	PDI1	Pdi1p
YCL042W	850315	YCL042W	Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm
YCL040W	850317	GLK1	Glk1p
YCL039W	850318	GID7	Gid7p
YCL038C	850319	ATG22	Atg22p
YCL037C	850320	SRO9	Cytoplasmic RNA-binding protein that associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif
YCL036W	850321	GFD2	Gfd2p
YCL035C	850322	GRX1	Grx1p
YCL034W	850323	LSB5	Lsb5p
YCL033C	850324	YCL033C	Putative protein-methionine-R-oxide reductase; involved in response to oxidative stress; similar to mouse Sepx1p and fly SelRp; YCL033C is not an essential gene
YCL032W	850325	STE50	Protein involved in mating response, invasive/filamentous growth, and osmotolerance, acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction
YCL031C	850326	RRP7	Essential protein involved in rRNA processing and ribosome biogenesis
YCL030C	850327	HIS4	His4p
YCL029C	850328	BIK1	Bik1p
YCL028W	850329	RNQ1	Rnq1p
YCL027W	850330	FUS1	Fus1p
YCL026C-B	850331	HBN1	Hbn1p
YCL026C-A	850332	FRM2	Frm2p
YCL025C	850333	AGP1	Agp1p
YCL024W	850334	KCC4	Kcc4p
TE(UUC)C	850337	TE(UUC)C	tRNA
YCL021W-A	850338	YCL021W-A	Putative protein of unknown function
YCL020W	850339	YCL020W	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag
YCL019W	850340	YCL019W	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
TL(CAA)C	850341	SUP53	tRNA
YCL018W	850342	LEU2	Beta-isopropylmalate dehydrogenase (IMDH), catalyzes the third step in the leucine biosynthesis pathway
YCL017C	850343	NFS1	Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis; required for the post-transcriptional thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria
YCL016C	850344	DCC1	Dcc1p
YCL014W	850345	BUD3	Bud3p
YCL011C	850346	GBP2	Gbp2p
YCL010C	850347	SGF29	SaGa associated Factor 29kDa; Probable 29kKDa Subunit of SAGA histone acetyltransferase complex
YCL009C	850348	ILV6	Ilv6p
YCL008C	850349	STP22	Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; homologous to the mouse and human Tsg101 tumor susceptibility gene; mutants exhibit a Class E Vps phenotype
YCL005W	850351	LDB16	Ldb16p
YCL004W	850352	PGS1	Pgs1p
YCL002C	850353	YCL002C	Putative protein of unknown function; YCL002C is not an essential gene
